front,back,domain,tags
What is the CIA triad?,"Confidentiality, Integrity, and Availability - the three core goals of information security.",1,fundamentals cia
What is non-repudiation?,Assurance that a party cannot deny having performed an action; provided by digital signatures and audit logging.,1,fundamentals signatures
What is the AAA framework?,"Authentication, Authorization, and Accounting - verifying identity, granting access, and tracking activity.",1,iam aaa
Authentication vs Authorization - which proves who you are?,Authentication proves who you are; Authorization determines what you are allowed to do. Authentication comes first.,1,iam aaa
What is the principle of least privilege?,Granting users only the minimum access required to perform their job and nothing more.,1,iam least-privilege
What is a security control?,A measure that reduces risk; categorized by type (technical/managerial/operational/physical) and function (preventive/detective/corrective/etc.).,1,controls fundamentals
Control category vs control function - which describes 'preventive'?,Function describes what the control does (preventive/detective/deterrent/corrective/compensating/directive). Category describes its nature (technical/managerial/operational/physical).,1,controls types
What is a compensating control?,An alternative control used when the primary required control cannot be implemented; it offsets the missing protection.,1,controls compensating
What is a detective control?,"A control that identifies and records that an incident has occurred (e.g., IDS, log review, CCTV monitoring).",1,controls detective
What is a deterrent control?,"A control that discourages an attacker from attempting an action (e.g., warning banners, visible cameras, fences).",1,controls deterrent
What is a directive control?,"A control that guides or mandates behavior through policy or instruction (e.g., acceptable use policy, signage).",1,controls directive
Deterrent vs Preventive control - which actually stops the action?,Preventive stops the action from happening; Deterrent only discourages attempting it. A lock is preventive; a 'guard dog' sign is a deterrent.,1,controls types
What is the Zero Trust model?,"A security model that assumes no implicit trust; every request is verified regardless of network location ('never trust, always verify').",1,zero-trust architecture
"In Zero Trust, what is the Policy Enforcement Point (PEP)?","The component that allows, denies, or terminates a connection based on the decision made by the Policy Decision Point.",1,zero-trust architecture
"In Zero Trust, what is the Policy Decision Point (PDP)?",The component (Policy Engine plus Policy Administrator) that evaluates policy and decides whether to grant access.,1,zero-trust architecture
Control Plane vs Data Plane in Zero Trust - which makes access decisions?,"The Control Plane makes and manages access decisions (PDP, policy); the Data Plane enforces them and moves the actual traffic (PEP, subjects, resources).",1,zero-trust architecture
What is adaptive identity in Zero Trust?,"Authentication that adjusts requirements based on context such as user behavior, device, and location risk.",1,zero-trust identity
What is implicit trust zone elimination?,The Zero Trust principle of removing assumed trust between resources inside the same network segment.,1,zero-trust architecture
What is a honeypot?,"A decoy system designed to lure and observe attackers, diverting them from real assets and gathering intel.",1,deception honeypot
What is a honeynet?,A network of honeypots designed to mimic a real network and study attacker behavior at scale.,1,deception honeynet
Honeypot vs Honeyfile - which is a decoy file?,"A honeyfile is a bait file (e.g., 'passwords.txt') that triggers an alert when accessed; a honeypot is a whole decoy system.",1,deception honeyfile
What is a honeytoken?,"A piece of fake data (credential, API key, record) planted to detect unauthorized access when it is used.",1,deception honeytoken
What is gap analysis?,An assessment comparing current security posture against a desired standard to identify deficiencies.,1,governance gap-analysis
What is a change management plan?,"A formal process to request, approve, test, and document changes to systems to reduce risk and outages.",1,change-management governance
"In change management, what is a backout plan?",A documented procedure to revert a change to its previous state if the change fails or causes problems.,1,change-management governance
What is a maintenance window?,"A scheduled, approved time period during which changes are performed to minimize impact on operations.",1,change-management governance
What is the purpose of digital signatures?,"To provide integrity, authentication, and non-repudiation by signing a hash with the sender's private key.",1,crypto signatures
Indicator: 'every request re-verified regardless of location' -> ?,Zero Trust architecture.,1,zero-trust keyword
Indicator: 'fake credential planted to detect intruders' -> ?,Honeytoken.,1,deception keyword
What is a managerial (administrative) control?,"A control implemented through policies, procedures, and governance (e.g., risk assessments, security policy).",1,controls managerial
What is a physical control?,"A control that protects physical assets (e.g., fences, locks, guards, bollards, lighting).",1,controls physical
